food_id,food_name,category,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_c_mg,vitamin_d_iu,cholesterol_mg,saturated_fat_g,glycemic_index,purine_mg,oxalate_mg,contains_gluten,contains_dairy,contains_nuts,contains_eggs,contains_shellfish,contains_fish,contains_soy,contains_sesame,contains_peanuts,contains_sulfites,is_vegetarian,is_vegan,cuisine_type,meal_type,disease_score
F037,Spinach,Vegetable Dishes,23.0,2.9,3.6,0.4,2.2,0.4,79.0,558,99.0,2.7,28.1,0.0,0.0,0.1,15,12.0,750,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,80
F036,Broccoli,Vegetable Dishes,34.0,2.8,7.0,0.4,2.6,1.7,33.0,316,47.0,0.7,89.2,0.0,0.0,0.1,10,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,80
F039,Carrot,Vegetable Dishes,41.0,0.9,10.0,0.2,2.8,4.7,69.0,320,33.0,0.3,5.9,0.0,0.0,0.0,39,0.0,35,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,80
F038,Kale,Vegetable Dishes,49.0,4.3,9.0,0.9,3.6,2.3,38.0,491,150.0,1.5,93.4,0.0,0.0,0.1,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,80
F029,Apple,Fruits,52.0,0.3,14.0,0.2,2.4,10.0,1.0,107,6.0,0.1,4.6,0.0,0.0,0.0,36,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Western,snack,80
F008,Lentils (cooked),Dals & Legumes,116.0,9.0,20.0,0.4,8.0,1.8,2.0,369,19.0,3.3,1.5,0.0,0.0,0.1,32,45.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,80
F009,Chickpeas (cooked),Dals & Legumes,164.0,9.0,27.0,2.6,8.0,4.8,7.0,291,49.0,2.9,1.3,0.0,0.0,0.3,28,56.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Mediterranean,lunch_dinner,80
F040,Sweet Potato,Vegetable Dishes,86.0,1.6,20.0,0.1,3.0,4.2,55.0,337,30.0,0.6,2.4,0.0,0.0,0.0,61,0.0,240,False,False,False,False,False,False,False,False,False,False,True,True,Western,lunch_dinner,70
F028,Banana,Fruits,89.0,1.1,23.0,0.3,2.6,12.0,1.0,358,5.0,0.3,8.7,0.0,0.0,0.1,51,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Tropical,breakfast_snack,70
F002,Brown Rice,Breads & Flatbreads,216.0,4.5,44.8,1.8,3.5,0.7,7.0,154,20.0,1.0,0.0,0.0,0.0,0.3,50,9.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Asian,lunch_dinner,70
F090,Green Tea,Beverages,1.0,0.0,0.2,0.0,0.0,0.0,1.0,27,1.0,0.1,0.0,0.0,0.0,0.0,15,0.0,55,False,False,False,False,False,False,False,False,False,False,True,True,Asian,breakfast_snack,60
N421,Cauliflower canjee (Phoolgobhi ki canjee),Indian Foods,6.9,0.4,0.4,0.4,0.5,0.1,41.4,20,6.3,0.22,7.9,0.0,0.0,0.1,15,2.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,60
N009,Cumin infused water (Jeere/Zeere ka pani),Indian Foods,9.1,0.2,1.9,0.1,0.5,1.5,189.6,24,10.8,0.32,3.6,0.0,0.0,0.0,15,0.0,0,False,False,False,False,False,False,False,False,False,False,True,True,Indian,lunch_dinner,60
