allergy_id,allergy_name,allergy_category,trigger_columns,severity_level,cross_reactive_with,common_hidden_sources,notes
A001,Gluten Allergy / Celiac Disease,Grain Allergy,contains_gluten,High,"wheat,barley,rye,spelt","sauces,soups,processed foods,medications","Avoid all wheat-based products; oats may be cross-contaminated"
A002,Lactose Intolerance,Dairy Sensitivity,contains_dairy,Medium,"milk,yogurt,cheese,butter","baked goods,sauces,soups","Some people tolerate fermented dairy like yogurt"
A003,Milk Protein Allergy,Dairy Allergy,contains_dairy,High,"all dairy products","baked goods,margarine,processed meats","Different from lactose intolerance - immune response to casein/whey"
A004,Tree Nut Allergy,Nut Allergy,contains_nuts,High,"almonds,walnuts,cashews,pistachios","baked goods,chocolates,pesto,granola","Includes almonds, walnuts, cashews, pistachios, hazelnuts, brazil nuts"
A005,Peanut Allergy,Legume Allergy,contains_peanuts,Critical,"peanut butter,groundnuts","Asian sauces,baked goods,energy bars","Cross-reactive with other legumes in severe cases; carry epinephrine"
A006,Egg Allergy,Egg Allergy,contains_eggs,High,"egg whites,egg yolks","mayonnaise,baked goods,pasta,vaccines","Albumin/lysozyme are egg derivatives"
A007,Shellfish Allergy,Seafood Allergy,contains_shellfish,Critical,"shrimp,crab,lobster,prawns","soups,sauces,fried rice,paella","Separate from fish allergy; often lifelong condition"
A008,Fish Allergy,Seafood Allergy,contains_fish,High,"salmon,tuna,cod,tilapia","Worcester sauce,caesar dressing,fish sauce","May react to specific species only"
A009,Soy Allergy,Legume Allergy,contains_soy,High,"tofu,tempeh,soy milk","processed foods,baby formula,sauces","Soy lecithin usually tolerated; edamame is soy"
A010,Sesame Allergy,Seed Allergy,contains_sesame,High,"sesame oil,tahini,hummus","bakery,Asian foods,burgers","Becoming a major allergen; check labels carefully"
A011,Sulfite Sensitivity,Additive Sensitivity,contains_sulfites,Medium,"wine,dried fruits","processed foods,restaurant foods,vinegar","Symptoms include asthma, hives; not a true allergy"
A012,Fructose Intolerance,Sugar Intolerance,sugar_g,Low,"high-fructose foods,apples,pears","honey,agave,HFCS","Filter foods where sugar_g > 8 from fruits"
A013,Histamine Intolerance,Biogenic Amine,food_id,Medium,"fermented foods,aged cheese,canned fish","sauces,vinegar,leftovers","Avoid fermented/aged/canned/smoked foods"
A014,FODMAP Sensitivity,Carbohydrate,food_id,Low,"onion,garlic,legumes,wheat","processed foods,sauces","IBS management diet; complex carbohydrate intolerance"
