age,gender,met,duration,frequency,weekly_met,label
51,1,1.2,60,2,144.0,Sedentary
74,0,3.0,45,6,810.0,Moderate
33,1,6.0,30,5,900.0,Moderate
19,0,3.8,30,2,228.0,Sedentary
35,1,6.0,20,1,120.0,Sedentary
42,0,7.3,30,7,1533.0,Active
52,0,10.0,45,4,1800.0,Very Active
21,1,0.9,60,5,270.0,Sedentary
27,0,6.0,30,5,900.0,Moderate
51,0,1.5,60,3,270.0,Light
31,1,7.0,60,2,840.0,Moderate
75,1,8.0,60,2,960.0,Active
31,0,9.0,60,3,1620.0,Active
26,0,7.0,45,5,1575.0,Active
19,0,6.0,30,1,180.0,Sedentary
47,1,7.3,20,1,146.0,Sedentary
29,1,10.0,60,5,3000.0,Very Active
70,1,3.0,20,5,300.0,Light
22,0,2.8,20,2,112.0,Sedentary
32,1,6.0,45,6,1620.0,Active
32,0,7.0,30,4,840.0,Moderate
21,1,8.0,45,2,720.0,Moderate
64,0,7.0,20,7,980.0,Active
44,1,8.0,60,1,480.0,Light
52,1,2.0,45,6,540.0,Moderate
44,1,7.0,20,1,140.0,Sedentary
55,0,10.0,45,3,1350.0,Active
73,0,5.5,20,1,110.0,Sedentary
65,1,8.0,45,6,2160.0,Very Active
73,0,8.0,20,1,160.0,Sedentary
31,1,1.3,60,2,156.0,Sedentary
25,1,7.0,45,7,2205.0,Very Active
40,0,9.5,30,1,285.0,Light
70,1,4.0,20,3,240.0,Light
58,1,3.5,20,3,210.0,Sedentary
39,0,9.0,20,6,1080.0,Moderate
54,0,10.0,45,5,2250.0,Very Active
19,0,2.5,60,7,1050.0,Moderate
70,1,3.0,30,3,270.0,Light
51,0,3.8,20,5,380.0,Light
31,0,3.0,45,4,540.0,Light
29,0,2.0,30,6,360.0,Light
68,1,3.8,20,2,152.0,Sedentary
38,0,9.5,60,3,1710.0,Active
54,0,3.5,45,4,630.0,Moderate
53,0,4.0,30,7,840.0,Moderate
26,1,8.0,20,2,320.0,Light
27,0,3.0,60,5,900.0,Moderate
67,1,3.0,30,4,360.0,Light
69,1,5.0,45,5,1125.0,Active
57,0,7.0,60,3,1260.0,Active
58,0,7.0,60,4,1680.0,Very Active
38,0,7.0,60,1,420.0,Light
36,0,6.0,45,7,1890.0,Active
63,1,7.0,20,2,280.0,Light
63,0,1.2,20,7,168.0,Sedentary
65,1,4.0,30,6,720.0,Moderate
49,1,4.0,30,1,120.0,Sedentary
63,1,5.5,45,2,495.0,Moderate
68,0,3.0,30,4,360.0,Light
48,1,2.0,45,2,180.0,Sedentary
68,1,8.0,60,1,480.0,Moderate
33,1,5.0,60,7,2100.0,Very Active
29,0,10.0,20,1,200.0,Sedentary
70,0,2.0,45,7,630.0,Moderate
25,1,3.8,45,3,513.0,Light
30,0,6.0,60,2,720.0,Moderate
33,1,6.0,20,1,120.0,Sedentary
22,0,3.8,60,5,1140.0,Moderate
44,1,1.3,45,1,58.5,Sedentary
61,1,7.0,45,5,1575.0,Very Active
75,0,0.9,20,2,36.0,Sedentary
69,1,7.0,30,7,1470.0,Active
63,0,1.2,45,1,54.0,Sedentary
39,1,6.0,45,4,1080.0,Moderate
30,1,3.0,20,5,300.0,Light
32,1,3.8,30,7,798.0,Moderate
44,0,7.0,45,5,1575.0,Active
48,1,4.0,30,1,120.0,Sedentary
43,1,8.0,60,5,2400.0,Very Active
38,0,8.0,45,6,2160.0,Very Active
53,0,8.0,45,3,1080.0,Active
52,0,4.0,20,4,320.0,Light
35,0,9.0,45,6,2430.0,Very Active
74,1,0.9,60,1,54.0,Sedentary
55,0,7.0,20,1,140.0,Sedentary
63,0,1.5,20,1,30.0,Sedentary
67,0,7.0,20,6,840.0,Moderate
20,0,9.0,20,7,1260.0,Active
37,0,3.8,60,6,1368.0,Active
22,0,8.0,20,7,1120.0,Moderate
41,1,7.0,45,2,630.0,Moderate
37,1,4.0,60,4,960.0,Moderate
34,0,3.5,60,1,210.0,Sedentary
31,0,9.0,60,5,2700.0,Very Active
62,1,3.5,30,7,735.0,Moderate
73,0,3.0,45,2,270.0,Light
68,0,9.5,45,2,855.0,Moderate
31,0,3.0,60,3,540.0,Light
40,0,1.5,45,1,67.5,Sedentary
57,0,6.0,30,6,1080.0,Active
73,0,6.0,20,1,120.0,Sedentary
29,1,3.0,20,5,300.0,Sedentary
29,1,9.0,45,3,1215.0,Active
25,1,2.0,30,4,240.0,Sedentary
62,0,3.0,30,1,90.0,Sedentary
57,1,0.9,20,3,54.0,Sedentary
68,0,6.0,60,2,720.0,Moderate
21,0,3.0,20,6,360.0,Light
54,0,9.0,20,1,180.0,Sedentary
