disease_id,disease_name,disease_category,foods_to_avoid_categories,nutrition_limits,foods_to_prefer,avoid_food_ids,prefer_food_ids,max_sodium_mg,max_sugar_g,max_fat_g,max_calories,min_fiber_g,max_cholesterol_mg,max_saturated_fat_g,max_glycemic_index,max_purine_mg,max_potassium_mg,max_phosphorus_mg,notes
D001,Type 2 Diabetes,Metabolic,High GI foods; sugary foods; refined carbs,glycemic_index < 55; sugar_g < 5 per serving; fiber_g > 3,"whole grains,legumes,non-starchy vegetables,lean proteins",,"F002,F006,F008,F009,F010,F036,F037,F038,F039,F040,F042,F043,F046,F051,F052",2000,5,30,1800,25,200,7,55,0,0,0,"Focus on low-GI foods; monitor carbohydrate intake; avoid sugary drinks and desserts"
D002,Type 1 Diabetes,Metabolic,High GI foods; sugary foods; irregular eating patterns,Consistent carb intake; low GI preferred,"complex carbs,lean proteins,healthy fats,non-starchy vegetables","","F002,F006,F008,F009,F010,F036,F037,F038,F039,F046,F051",2000,5,35,1800,20,200,10,60,0,0,0,"Consistent meal timing critical; carb counting essential; work with dietitian"
D003,Hypertension (High BP),Cardiovascular,High sodium foods; processed foods; alcohol,sodium_mg < 1500/day; saturated_fat < 7g/day,"DASH diet foods,fruits,vegetables,whole grains,lean proteins,low-fat dairy","F024,F064,F065,F072,F099,F100","F036,F037,F038,F039,F040,F028,F029,F002,F008,F009",1500,25,30,2000,25,150,7,0,0,0,0,"DASH diet recommended; limit alcohol; increase potassium-rich foods"
D004,Heart Disease / CAD,Cardiovascular,Saturated fat; trans fat; high cholesterol foods; high sodium,saturated_fat < 7g; cholesterol < 200mg; sodium < 1500mg,"omega-3 rich foods,fiber-rich foods,fruits,vegetables,whole grains","F016,F024,F055,F071,F072","F017,F036,F037,F038,F046,F047,F051,F002,F008,F009",1500,20,25,1800,30,200,7,0,0,0,0,"Mediterranean diet beneficial; avoid trans fats completely"
D005,Kidney Disease (CKD),Renal,High potassium; high phosphorus; high protein; high sodium,protein_g < 50g/day; potassium < 2000mg/day; phosphorus < 800mg/day; sodium < 1500mg/day,"white rice,white bread,cabbage,cauliflower,apples,cranberries","F037,F038,F046,F047,F048,F057,F075,F085","F001,F029,F039,F076,F042",1500,25,30,1800,0,200,10,0,0,2000,800,"Requires strict medical supervision; protein needs vary by dialysis status"
D006,Gout,Metabolic,High purine foods; alcohol; fructose-rich foods,purine_mg < 150mg/day; limit fructose; hydration,"low-purine vegetables,dairy,eggs,nuts","F017,F018,F019,F020,F013,F071,F014,F015","F001,F036,F039,F040,F021,F022,F026,F029",2000,15,40,2000,15,300,15,0,150,0,0,"Avoid organ meats and shellfish; increase water intake to 2-3L/day; limit alcohol"
D007,PCOS (Polycystic Ovary Syndrome),Hormonal,High GI foods; processed foods; dairy (for some); inflammatory foods,low GI diet; anti-inflammatory; high fiber,"whole grains,legumes,lean proteins,omega-3 fats,fiber-rich vegetables","F004,F003,F065,F072,F099","F002,F006,F008,F009,F017,F036,F037,F038,F046,F051",1800,10,35,1800,25,200,8,55,0,0,0,"Anti-inflammatory diet; some benefit from low-dairy; insulin resistance management key"
D008,Hypothyroidism,Endocrine,Raw goitrogens in large amounts; soy in excess; high-fiber around medication,moderate fiber; iodine-sufficient diet,"iodine-rich foods,selenium-rich foods,zinc-rich foods,lean proteins","","F017,F018,F026,F036,F037,F038",2000,15,35,2000,20,250,10,0,0,0,0,"Cook cruciferous vegetables; take medication on empty stomach; avoid soy near medication"
D009,Hyperthyroidism,Endocrine,Iodine-rich foods; caffeine; stimulants,Low iodine diet if radioiodine therapy planned,"calcium-rich foods,fruits,vegetables,whole grains","F017,F018,F019,F020","F036,F037,F038,F039,F040,F029,F030",2000,20,35,2200,20,250,10,0,0,0,0,"Reduce iodized salt and seafood; adequate calcium for bone health"
D010,Anemia (Iron Deficiency),Nutritional,Tea/coffee with meals (inhibits absorption); high calcium with iron,iron_mg > 18mg/day target; vitamin C with iron,"iron-rich foods,vitamin C for absorption,lean meats","","F037,F008,F009,F014,F015,F016,F030,F029,F036",2000,25,35,2000,15,250,10,0,0,0,0,"Eat vitamin C with iron-rich foods; avoid tea/coffee within 1 hour of meals"
D011,Celiac Disease,Autoimmune,All gluten-containing foods; gluten cross-contamination,Strictly gluten-free,"naturally gluten-free whole foods,rice,quinoa,legumes,vegetables,fruits","F003,F004,F005,F007,F060,F065,F068,F072,F099,F100","F001,F002,F006,F009,F010,F036,F037,F038,F039,F040",2000,25,35,2000,20,250,10,0,0,0,0,"Strict avoidance required; check all labels; separate cooking utensils needed"
D012,IBD (Crohn's / Ulcerative Colitis),Gastrointestinal,High-fiber foods during flare; raw vegetables; spicy foods; alcohol; caffeine,Low-residue diet during flare; adequate nutrition,"cooked vegetables,low-fiber foods during flare,lean proteins,soft foods","F047,F046,F038,F037,F036","F014,F001,F023,F029,F039,F077",2000,15,30,2000,0,250,10,0,0,0,0,"Diet varies by disease phase; during remission increase variety; track trigger foods"
