day,meal_slot,food_name,category,portion_g,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg
Monday,breakfast,Siddu,Breads & Flatbreads,150.0,427.5,14.2,63.8,13.2,6.3,427.5
Monday,breakfast,Semolina idli (Suji/Rava idli),South Indian Breakfast,135.0,278.6,12.6,45.5,4.7,7.8,249.8
Monday,breakfast,Vegetable poha,Breakfast Cereals & Porridge,77.0,139.0,3.8,16.6,6.2,2.9,321.9
Monday,lunch,Lentils (cooked),Dals & Legumes,225.0,261.0,20.2,45.0,0.9,18.0,4.5
Monday,lunch,Quinoa,Breads & Flatbreads,143.0,526.2,20.0,91.5,8.6,10.0,7.2
Monday,lunch,Rajma,Indian Foods,207.0,262.9,18.0,47.2,1.0,13.2,579.6
Monday,lunch,Litti Chokha,Indian Foods,75.0,221.2,7.3,34.1,7.1,5.1,360.0
Monday,dinner,Cracked wheat khichri/khichdi (Dalia khichri/khichdi),Rice Dishes,294.0,492.2,22.3,65.9,16.2,10.9,661.5
Monday,dinner,Carrot,Vegetable Dishes,225.0,92.2,2.0,22.5,0.5,6.3,155.2
Monday,dinner,Ground Beef (lean),Meat Dishes,93.0,199.9,24.2,0.0,11.2,0.0,69.8
Monday,dinner,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Rice Dishes,100.0,173.4,4.9,27.6,4.8,3.2,170.0
Tuesday,breakfast,Caramel custard (steamed),Beverages,300.0,364.8,15.0,45.0,14.7,0.0,130.8
Tuesday,breakfast,Whole Wheat Bread,Breads & Flatbreads,125.0,308.8,16.2,51.2,4.2,7.5,500.0
Tuesday,breakfast,Siddu,Breads & Flatbreads,54.0,153.9,5.1,22.9,4.8,2.3,153.9
Tuesday,lunch,Moong bean dosa (Pesarattu),Dals & Legumes,225.0,643.5,27.7,71.8,26.3,13.5,138.2
Tuesday,lunch,Maa chaane ki dal,Dals & Legumes,97.0,334.4,19.2,41.8,9.2,13.0,42.0
Tuesday,lunch,Tempeh,Dals & Legumes,86.0,167.7,16.3,7.7,9.5,0.0,7.7
Tuesday,lunch,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Rice Dishes,100.0,173.4,4.9,27.6,4.8,3.2,170.0
Tuesday,dinner,Hot orange souffle,Indian Foods,225.0,405.0,15.5,42.3,20.2,0.7,132.3
Tuesday,dinner,Pork Chop (grilled),Meat Dishes,125.0,288.8,31.8,0.0,17.5,0.0,97.5
Tuesday,dinner,Bottle Gourd (Lauki),Vegetable Dishes,225.0,31.5,1.4,7.7,0.0,1.1,4.5
Tuesday,dinner,Cracked wheat khichri/khichdi (Dalia khichri/khichdi),Rice Dishes,100.0,167.4,7.6,22.4,5.5,3.7,225.0
Wednesday,breakfast,Jowar dosa,South Indian Breakfast,167.0,491.6,14.2,67.6,17.2,9.4,162.3
Wednesday,breakfast,Jain Besan Chilla,Breakfast Cereals & Porridge,149.0,245.8,14.2,33.5,6.7,8.2,424.6
Wednesday,lunch,Quinoa,Breads & Flatbreads,150.0,552.0,21.0,96.0,9.0,10.5,7.5
Wednesday,lunch,Eggplant/Brinjal rice (Vangi bhat),Rice Dishes,206.0,380.7,10.9,65.3,7.6,9.1,121.7
Wednesday,lunch,Apple cinnamon pie,Indian Foods,75.0,194.0,2.5,25.3,9.2,1.4,45.1
Wednesday,lunch,Chickpeas (cooked),Dals & Legumes,75.0,123.0,6.8,20.2,1.9,6.0,5.2
Wednesday,dinner,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Rice Dishes,284.0,492.5,13.9,78.4,13.6,9.1,482.8
Wednesday,dinner,Chicken Breast (cooked),Meat Dishes,149.0,245.8,46.2,0.0,5.4,0.0,110.3
Wednesday,dinner,Beef Mince (Keema),Meat Dishes,60.0,130.8,13.1,0.0,8.5,0.0,49.2
Wednesday,dinner,Orange souffle,Indian Foods,75.0,126.2,5.1,10.7,7.3,0.1,36.9
Thursday,breakfast,Whole Wheat Bread,Breads & Flatbreads,150.0,370.5,19.5,61.5,5.1,9.0,600.0
Thursday,breakfast,Semolina dosa (Suji/Rava dosa),South Indian Breakfast,135.0,306.4,9.9,44.3,9.6,5.4,273.2
Thursday,breakfast,Vegetable poha,Breakfast Cereals & Porridge,85.0,153.4,4.2,18.3,6.9,3.2,355.3
Thursday,lunch,Tempeh,Dals & Legumes,225.0,438.8,42.8,20.2,24.8,0.0,20.2
Thursday,lunch,Cabbage manchurian (Pattagobhi manchurian),Indian Foods,195.0,437.4,1.2,9.4,43.9,0.8,146.2
Thursday,lunch,Carrot,Vegetable Dishes,225.0,92.2,2.0,22.5,0.5,6.3,155.2
Thursday,lunch,Chicken Breast (cooked),Meat Dishes,104.0,171.6,32.2,0.0,3.7,0.0,77.0
Thursday,dinner,Chicken Thigh (cooked),Meat Dishes,180.0,376.2,46.8,0.0,19.8,0.0,167.4
Thursday,dinner,Namkeen daliya,Dals & Legumes,103.0,304.0,8.5,50.8,8.2,8.9,154.1
Thursday,dinner,Beef Mince (Keema),Meat Dishes,70.0,152.6,15.3,0.0,9.9,0.0,57.4
Thursday,dinner,Tempeh,Dals & Legumes,75.0,146.2,14.2,6.8,8.2,0.0,6.8
Friday,breakfast,Plain dosa,South Indian Breakfast,129.0,491.4,13.3,82.7,10.8,6.7,184.5
Friday,breakfast,Sattu Drink (Sweet),Beverages,259.0,246.1,11.7,47.9,2.1,6.5,72.5
Friday,breakfast,Semolina dosa (Suji/Rava dosa),South Indian Breakfast,75.0,170.2,5.5,24.6,5.3,3.0,151.8
Friday,lunch,Moong bean dosa (Pesarattu),Dals & Legumes,225.0,643.5,27.7,71.8,26.3,13.5,138.2
Friday,lunch,Litti Chokha,Indian Foods,113.0,333.4,11.1,51.4,10.7,7.7,542.4
Friday,lunch,Lentils (cooked),Dals & Legumes,145.0,168.2,13.1,29.0,0.6,11.6,2.9
Friday,lunch,Chicken Breast (cooked),Meat Dishes,60.0,99.0,18.6,0.0,2.2,0.0,44.4
Friday,dinner,Tempeh,Dals & Legumes,225.0,438.8,42.8,20.2,24.8,0.0,20.2
Friday,dinner,Beef Mince (Keema),Meat Dishes,125.0,272.5,27.2,0.0,17.8,0.0,102.5
Friday,dinner,Pork Mince (Keema),Meat Dishes,60.0,157.8,11.3,0.0,12.3,0.0,49.2
Friday,dinner,Orange souffle,Indian Foods,75.0,126.2,5.1,10.7,7.3,0.1,36.9
Saturday,breakfast,Caramel custard (steamed),Beverages,300.0,364.8,15.0,45.0,14.7,0.0,130.8
Saturday,breakfast,Plain dosa,South Indian Breakfast,81.0,308.5,8.3,51.9,6.8,4.2,115.8
Saturday,breakfast,Semolina dosa (Suji/Rava dosa),South Indian Breakfast,75.0,170.2,5.5,24.6,5.3,3.0,151.8
Saturday,lunch,Eggplant/Brinjal rice (Vangi bhat),Rice Dishes,300.0,554.4,15.9,95.1,11.1,13.2,177.3
Saturday,lunch,Maa chaane ki dal,Dals & Legumes,110.0,379.2,21.8,47.4,10.4,14.7,47.6
Saturday,lunch,Lentils (cooked),Dals & Legumes,164.0,190.2,14.8,32.8,0.7,13.1,3.3
Saturday,lunch,Litti Chokha,Indian Foods,75.0,221.2,7.3,34.1,7.1,5.1,360.0
Saturday,dinner,Beef Mince (Keema),Meat Dishes,180.0,392.4,39.2,0.0,25.6,0.0,147.6
Saturday,dinner,Dhokar Dalna,Dals & Legumes,179.0,295.4,15.2,33.1,13.4,8.1,689.1
Saturday,dinner,Ground Beef (lean),Meat Dishes,69.0,148.3,17.9,0.0,8.3,0.0,51.8
Saturday,dinner,Chicken Breast (cooked),Meat Dishes,60.0,99.0,18.6,0.0,2.2,0.0,44.4
Sunday,breakfast,Ghugni,Indian Foods,225.0,378.0,19.1,50.6,10.8,14.6,1080.0
Sunday,breakfast,Sprouts upma,Breakfast Cereals & Porridge,96.0,303.6,9.1,43.2,10.0,6.9,141.9
Sunday,breakfast,Jain Besan Chilla,Breakfast Cereals & Porridge,92.0,151.8,8.7,20.7,4.1,5.1,262.2
