"goal_text","label"
"Looking to decrease waist fat in a healthy way","loss"
"Trying to drop body fat in a healthy way","loss"
"I want to keep my health stable","maintain"
"I am aiming to increase muscle mass for gym training","gain"
"I want to get lean by losing body fat in a healthy way","loss"
"I want to lose fat over time","loss"
"I want to continue being body condition as it is","maintain"
"I want to lose fat in a healthy way","loss"
"I want to gain muscle mass","gain"
"Looking to add size","gain"
"My goal is to remain body condition as it is","maintain"
"Need to increase muscle naturally","gain"
"My goal is fat loss and body fat naturally","loss"
"Planning to cut unwanted fat naturally","loss"
"Need to increase lean muscle for strength","gain"
"No weight change, just overall wellness","maintain"
"Want to bulk up and gain weight","gain"
"My goal is to remain weight without weight change","maintain"
"Looking to add size for strength","gain"
"Trying to put on muscle naturally","gain"
"I am aiming to increase weight for strength","gain"
"No weight change, just fitness","maintain"
"Want to bulk up and gain strength","gain"
"Need to increase muscle naturally","gain"
"No weight change, just current body consistently","maintain"
"Looking to decrease calories in a healthy way","loss"
"Trying to stay in present fitness level without weight change","maintain"
"Trying to reduce waist fat safely","loss"
"I want to slim down by reducing unwanted fat safely","loss"
"Planning to cut body fat","loss"
"Need to increase overall mass in a healthy way","gain"
"Looking to add body mass","gain"
"My goal is fat loss and extra kilos in a healthy way","loss"
"My goal is muscle gain and muscle mass","gain"
"My goal is to remain fitness","maintain"
"Trying to reduce fat","loss"
"I want to keep my fitness stable long term","maintain"
"My aim is to preserve my fitness","maintain"
"My aim is to preserve my current body as it is","maintain"
"I am aiming to lose belly fat","loss"
"My aim is to preserve my current body as it is","maintain"
"My goal is fat loss and overall body fat","loss"
"My goal is fat loss and extra kilos naturally","loss"
"Trying to reduce fat in a healthy way","loss"
"My goal is to remain overall wellness","maintain"
"I want to maintain my health long term","maintain"
"I am aiming to increase body mass for strength","gain"
"I want to get lean by losing overall body fat in a healthy way","loss"
"I want to slim down by reducing overall body fat safely","loss"
"My goal is fat loss and calories in a healthy way","loss"
"Trying to reduce excess weight safely","loss"
"I want to get lean by losing unwanted fat in a healthy way","loss"
"My goal is muscle gain and overall mass for gym training","gain"
"I am aiming to increase muscle mass in a healthy way","gain"
"I am aiming to lose excess weight over time","loss"
"I am aiming to lose weight over time","loss"
"Trying to drop body fat safely","loss"
"Planning to cut body fat over time","loss"
"Focus is overall fitness without weight change","maintain"
"I am aiming to increase overall mass","gain"
"I want to lose weight in a healthy way","loss"
"I want to grow my muscle mass naturally","gain"
"Want to bulk up and gain overall mass","gain"
"Trying to reduce belly fat","loss"
"My aim is to preserve my current body consistently","maintain"
"Focus is overall body condition consistently","maintain"
"I want to gain lean muscle in a healthy way","gain"
"Need to increase lean muscle naturally","gain"
"I am aiming to increase muscle naturally","gain"
"I am aiming to increase lean muscle for gym training","gain"
"Focus is overall body condition as it is","maintain"
"My goal is fat loss and body fat in a healthy way","loss"
"My goal is muscle gain and size naturally","gain"
"Trying to put on muscle for gym training","gain"
"I am aiming to increase strength naturally","gain"
"Need to increase lean muscle for strength","gain"
"I want to get lean by losing extra kilos naturally","loss"
"I want to slim down by reducing extra kilos naturally","loss"
"Need to increase muscle for strength","gain"
"Trying to build body mass naturally","gain"
"I am aiming to lose belly fat over time","loss"
"I want to keep my body condition stable long term","maintain"
"I want to keep my current body stable long term","maintain"
"Looking to add lean muscle in a healthy way","gain"
"Trying to build size naturally","gain"
"Trying to drop overall body fat naturally","loss"
"I am aiming to lose unwanted fat over time","loss"
"My aim is to preserve my health without weight change","maintain"
"My goal is to remain shape long term","maintain"
"Trying to stay in overall wellness long term","maintain"
"I want to gain weight for gym training","gain"
"Focus is overall present fitness level as it is","maintain"
"No weight change, just body condition as it is","maintain"
"Want to bulk up and gain muscle mass for gym training","gain"
"I want to slim down by reducing body fat over time","loss"
"Trying to build size naturally","gain"
"My goal is to remain weight as it is","maintain"
"My goal is to remain fitness without weight change","maintain"
"Need to burn waist fat naturally","loss"
"Trying to drop excess weight safely","loss"
"I am aiming to increase body mass","gain"
"Trying to stay in physique consistently","maintain"
"No weight change, just overall wellness without weight change","maintain"
"I want to slim down by reducing extra kilos over time","loss"
"No weight change, just current body","maintain"
"I am aiming to lose overall body fat in a healthy way","loss"
"No weight change, just health","maintain"
"Want to bulk up and gain overall mass","gain"
"I want to keep my weight stable as it is","maintain"
"I want to slim down by reducing weight","loss"
"Just trying to stay health","maintain"
"No weight change, just physique as it is","maintain"
"Looking to decrease overall body fat over time","loss"
"Need to increase muscle mass for gym training","gain"
"Want to bulk up and gain muscle","gain"
"Need to burn overall body fat in a healthy way","loss"
"Trying to build strength for strength","gain"
"Trying to put on muscle mass for gym training","gain"
"I want to maintain my physique consistently","maintain"
"I am aiming to increase weight naturally","gain"
"I want to continue being physique","maintain"
"Trying to reduce belly fat in a healthy way","loss"
"I want to grow my overall mass","gain"
"No weight change, just current body as it is","maintain"
"My aim is to preserve my current body consistently","maintain"
"I want to grow my muscle in a healthy way","gain"
"My aim is to preserve my health long term","maintain"
"Focus is overall health as it is","maintain"
"Focus is overall current body long term","maintain"
"I want to get lean by losing calories in a healthy way","loss"
"I want to gain healthy weight naturally","gain"
"Focus is overall fitness consistently","maintain"
"I am aiming to increase overall mass for strength","gain"
"I am aiming to increase muscle naturally","gain"
"My goal is to remain physique","maintain"
"Trying to build muscle mass in a healthy way","gain"
"Just trying to stay body condition","maintain"
"I am aiming to lose excess weight over time","loss"
"My goal is muscle gain and size","gain"
"My goal is to remain health long term","maintain"
"No weight change, just present fitness level","maintain"
"I want to slim down by reducing unwanted fat in a healthy way","loss"
"Planning to cut body fat naturally","loss"
"Focus is overall present fitness level","maintain"
"I am aiming to increase overall mass in a healthy way","gain"
"Looking to add muscle for strength","gain"
"Trying to reduce fat over time","loss"
"I want to grow my muscle for strength","gain"
"I want to keep my physique stable long term","maintain"
"My aim is to preserve my current body without weight change","maintain"
"Looking to add body mass naturally","gain"
"Trying to build muscle mass for gym training","gain"
"Just trying to stay shape without weight change","maintain"
"I want to gain overall mass naturally","gain"
"Need to increase overall mass for strength","gain"
"Planning to cut unwanted fat over time","loss"
"Need to burn unwanted fat naturally","loss"
"My goal is muscle gain and overall mass for strength","gain"
"My goal is to remain fitness without weight change","maintain"
"Trying to put on muscle mass","gain"
"I want to continue being weight","maintain"
"No weight change, just body condition as it is","maintain"
"I want to continue being weight without weight change","maintain"
"Need to burn calories in a healthy way","loss"
"I want to gain strength","gain"
"I want to slim down by reducing weight in a healthy way","loss"
"Trying to stay in present fitness level as it is","maintain"
"My aim is to preserve my health as it is","maintain"
"Trying to drop belly fat safely","loss"
"Looking to add body mass in a healthy way","gain"
"My goal is fat loss and excess weight","loss"
"Trying to reduce belly fat","loss"
"I am aiming to increase muscle for strength","gain"
"My goal is to remain current body without weight change","maintain"
