text,intent
"i want to lose weight",get_plan
"help me with a diet plan",get_plan
"give me a daily plan",get_plan
"create a 7 day meal plan for weight loss",get_plan
"i want a high protein diet",get_plan
"show me a low carb lunch",get_plan
"make a vegetarian plan",get_plan
"give me a calorie deficit diet",get_plan
"suggest a dinner for muscle gain",get_plan
"plan my meals for a week",get_plan
"i am 22 years old",set_profile
"i am 25 female 165 cm 60 kg",set_profile
"i am 30 years old and weigh 70 kg",set_profile
"i am 40 yrs male 175 cm 80 kg",set_profile
"i'm 28 and 55kg",set_profile
"i am 21 years old male",set_profile
"height 160 cm weight 55 kg age 22",set_profile
"my weight is 68 kg and height is 170 cm",set_profile
"i am 35 years old female 158 cm 62 kg",set_profile
"i have moderate activity level",set_profile
"i walk a lot so my activity is active",set_profile
"i work a desk job so sedentary",set_profile
"i exercise 4 times a week - moderate",set_profile
"i am lightly active",set_profile
"i want to gain weight",set_profile
"i want to maintain weight",set_profile
"i want to lose 5 kg",set_profile
"i want to gain muscle",set_profile
"i want to bulk up",set_profile
"make it vegetarian please",update_profile
"i am allergic to peanuts",update_profile
"i'm lactose intolerant",update_profile
"no eggs for me",update_profile
"i am vegan",update_profile
"exclude dairy",update_profile
"avoid gluten",update_profile
"i have nut allergy",update_profile
"i don't eat pork",update_profile
"i prefer indian cuisine",update_profile
"please make it low sodium",update_profile
"i'm allergic to seafood",update_profile
"add a peanut allergy",update_profile
"i am allergic to milk and eggs",update_profile
"change my goal to gain",update_profile
"update my activity to active",update_profile
"hi",greeting
"hello",greeting
"hey there",greeting
"good morning",greeting
"good evening",greeting
"thanks",thanks
"thank you",thanks
"thanks a lot",thanks
"thx",thanks
"bye",goodbye
"goodbye",goodbye
"see you",goodbye
"what is the calorie in boiled egg",food_query
"how many calories are in a banana",food_query
"calories in grilled chicken",food_query
"what is the protein in paneer",food_query
"how many carbs are in brown rice",food_query
"calorie content of almonds",food_query
"how many calories does a slice of bread have",food_query
"calories in avocado",food_query
"what's the kcal of a medium apple",food_query
"protein in tofu",food_query
"i want a snack under 200 calories",get_plan
"suggest a healthy breakfast",get_plan
"show me a high fiber lunch",get_plan
"give me a gluten free dinner",get_plan
"i need a low sugar diet",get_plan
"i want a keto friendly meal",get_plan
"vegetarian high protein breakfast",get_plan
"give me quick meals",get_plan
"i have no time, suggest easy meals",get_plan
"i want 3 meals only",get_plan
"make the servings smaller",get_plan
"swap tofu for paneer",swap_item
"replace chicken with tofu",swap_item
"i don't like fish, suggest alternate",swap_item
"can you replace rice with quinoa",swap_item
"substitute paneer",swap_item
"swap almond butter for peanut butter",swap_item
"i dont like tofu",update_profile
"i dislike mushrooms",update_profile
"i can't eat spicy food",update_profile
"low spice please",update_profile
"what should i eat before workout",ask_timing
"what to have after gym",ask_timing
"pre workout snack suggestions",ask_timing
"post workout meal ideas",ask_timing
"how much protein should i eat",ask_macros
"what are my macros",ask_macros
"how many grams of protein per day",ask_macros
"what should be my carb intake",ask_macros
"calculate my protein target",ask_macros
"how many calories should i eat to lose weight",ask_calories
"what is my tdee",ask_calories
"what calories for maintenance",ask_calories
"how many kcal should i take",ask_calories
"give me calorie target to lose",ask_calories
"i ate a sandwich, add to diary",food_log
"logging food: bowl of oats",food_log
"i had an apple for snack",food_log
"record breakfast: idli 2",food_log
"i ate 3 idlis",food_log
"i drank a glass of milk",food_log
"i skipped breakfast today",food_log
"i want vegetarian snacks",get_plan
"i want vegan recipes",get_plan
"show me high calorie meals",get_plan
"show me low calorie dinners",get_plan
"i need low fat meals",get_plan
"what is the protein in chicken breast",food_query
"how many calories are in salmon",food_query
"is yogurt high in protein",food_query
"what's the fat in peanut butter",food_query
"do almonds have carbs",food_query
"what is the protein in moong dal",food_query
"i am allergic to gluten and dairy",update_profile
"i prefer south indian breakfast",update_profile
"i like dosa and idli",update_profile
"i don't like rice",update_profile
"prefer rotis over rice",update_profile
"i want a low sodium diet",update_profile
"i have high cholesterol advice",health_query
"I have diabetes. suggest diet",health_query
"I have thyroid issues. what to avoid",health_query
"should I avoid sugar",health_query
"is avocado good for weight loss",health_query
"what is bmi",ask_health
"calculate bmi for 60 kg 160 cm",ask_health
"what is a healthy bmi range",ask_health
"how to lose fat",advice_general
"tips to reduce belly fat",advice_general
"how to build muscle",advice_general
"healthy snack ideas",advice_general
"low calorie dessert ideas",advice_general
"i liked the plan",feedback_like
"this is good",feedback_like
"i loved the meals",feedback_like
"not helpful",feedback_dislike
"i don't like this plan",feedback_dislike
"too spicy",feedback_dislike
