id,name,course,portion_desc,kcal,carbs_g,protein_g,fat_g,fiber_g,sodium_mg,gi,cost_score,prep_time_min,diet_type,veg_type,tags,ingredients
B1,Idli (2) + Sambar,breakfast,2 idli + 1 cup sambar,280,48,10,4,5,480,50,2,15,veg,veg,veg,"rice, salt, spices, urad dal"
B2,Masala Dosa (light oil),breakfast,1 dosa + chutney,360,56,10,10,4,520,55,2,15,veg,veg,veg,"rice, salt, spices, urad dal"
B3,Ragi Dosa + Chutney,breakfast,1 dosa + chutney,340,50,11,9,6,500,45,3,15,veg,veg,veg,"rice, salt, spices, urad dal"
B4,Poha (No Peanuts),breakfast,1 plate,270,45,6,6,3,420,60,2,15,veg,veg,veg,"salt, spices"
B5,Upma (Rava),breakfast,1 bowl,300,42,7,10,3,450,65,2,15,veg,veg,veg,"mustard seeds, oil, salt, sooji, spices"
B6,Millet Upma,breakfast,1 bowl,290,40,7,8,5,420,50,3,15,veg,veg,veg,"mustard seeds, oil, salt, sooji, spices"
B7,Oats Porridge (Milk),breakfast,1 bowl,350,54,12,8,5,180,50,3,15,veg,veg,veg,"salt, spices"
B8,Moong Chilla + Mint Chutney,breakfast,2 pieces,320,36,18,6,4,350,40,3,15,veg,veg,veg,"salt, spices"
B9,Veg Uttapam,breakfast,1 large,330,50,8,7,4,480,58,2,15,veg,veg,veg,"salt, spices"
B10,Khaman Dhokla,breakfast,4 pieces,250,40,9,5,4,420,43,3,15,veg,veg,veg,"salt, spices"
B11,Aloo Paratha (minimal oil),breakfast,1 paratha + curd,420,56,9,14,5,600,65,3,15,veg,veg,veg,"atta, salt, spices, water, wheat"
B12,Sabudana Khichdi,breakfast,1 bowl,380,68,5,8,3,520,70,3,15,veg,veg,veg,"ghee, lentils, rice, salt, spices"
B13,Egg Bhurji + Toast,breakfast,1 plate,360,30,20,18,4,520,55,3,15,eggetarian,nonveg,"eggetarian,high_protein","egg, oil, salt, spices"
B14,Ven Pongal + Sambar,breakfast,1 bowl + 1/2 cup sambar,340,54,10,7,4,520,55,3,15,veg,veg,veg,"salt, spices"
B15,Paneer Bhurji,breakfast,1 cup,380,20,22,22,3,680,35,3,15,veg,veg,veg,"milk, oil, paneer, salt, spices"
B16,Ragi Dosa (No Onion) - Jain,breakfast,1 dosa + chutney,340,50,11,9,6,500,45,3,15,jain,veg,"jain,low_gi,gf,jain_safe","rice, salt, spices, urad dal"
B17,Moong Chilla (Jain),breakfast,2 pieces,320,36,18,6,4,350,40,3,15,jain,veg,"jain,high_protein,jain_safe","salt, spices"
B18,Oats + Curd (No Onion/Garlic),breakfast,1 bowl,350,54,12,8,5,180,50,3,15,jain,veg,"jain,low_gi,jain_safe","salt, spices"
B19,Egg White Omelette,breakfast,1 omelette,180,6,24,6,0,420,40,3,15,eggetarian,nonveg,"eggetarian,high_protein,quick","egg, oil, salt, spices"
B20,Boiled Eggs (2),breakfast,2 eggs,140,2,12,10,0,120,40,3,15,eggetarian,nonveg,"eggetarian,high_protein,quick","egg, oil, salt, spices"
B21,Ragi Idli + Sambar,breakfast,3 small idli + 1 cup sambar,300,48,13,6,5,480,48,3,20,veg,veg,"low_gi,gf","rice, salt, spices, urad dal"
B22,Kanda Poha (No Peanut),breakfast,1 plate,290,45,9,8,3,420,58,3,20,veg,veg,"budget,quick","salt, spices"
B23,Stuffed Moong Chilla (Paneer),breakfast,2 pieces,340,36,21,8,4,350,38,3,20,veg,veg,high_protein,"milk, oil, paneer, salt, spices"
L1,Rajma + Brown Rice,lunch,1 cup rajma + 1 cup rice,520,78,18,8,10,620,52,3,35,veg,veg,low_gi,"rice, salt, spices, water"
L2,Chole + Phulka (2),lunch,1 cup chole + 2 phulka,480,65,14,9,9,760,55,3,35,veg,veg,standard,"salt, spices"
L3,Bajra Roti (2) + Dal,lunch,2 roti + 1 cup dal,480,62,18,10,8,600,48,3,35,veg,veg,"gf,low_gi","atta, lentils, salt, spices, turmeric, water, wheat"
L4,Jowar Roti (2) + Dal,lunch,2 roti + 1 cup dal,470,60,17,9,8,590,49,3,35,veg,veg,"gf,low_gi","atta, lentils, salt, spices, turmeric, water, wheat"
L5,Brown Rice + Kadhi,lunch,1 cup rice + 1 cup kadhi,460,72,14,9,4,640,55,3,35,veg,veg,standard,"rice, salt, spices, water"
L6,Vegetable Khichdi,lunch,1.5 cups,420,70,14,6,6,530,50,3,35,veg,veg,comfort,"ghee, lentils, rice, salt, spices"
L7,Millet Khichdi (GF),lunch,1 bowl,380,56,12,8,5,420,47,3,35,veg,veg,"gf,low_gi","ghee, lentils, rice, salt, spices"
L8,Vegetable Pulao + Raita,lunch,1 cup pulao + 1/2 cup raita,480,78,10,10,5,700,62,3,35,veg,veg,standard,"rice, salt, spices, water"
L9,Palak Paneer + Roti (2),lunch,1 cup + 2 roti,560,52,22,26,5,780,50,3,35,veg,veg,high_protein,"atta, milk, oil, paneer, salt, spices, water, wheat"
L10,Paneer Tikka + Roti (2),lunch,6 pcs + 2 roti,540,50,24,24,5,750,50,3,35,veg,veg,high_protein,"atta, milk, oil, paneer, salt, spices, water, wheat"
L11,Veg Korma + Paratha (1),lunch,1 cup + 1 paratha,590,60,14,24,6,820,58,3,35,veg,veg,standard,"atta, salt, spices, water, wheat"
L12,Sambar Rice + Curd,lunch,1 bowl + 1/2 cup curd,480,82,14,6,6,680,60,3,35,veg,veg,comfort,"rice, salt, spices, water"
L13,Dal Makhani + Rice,lunch,1 cup + 1 cup rice,580,72,18,18,10,760,55,3,35,veg,veg,standard,"lentils, rice, salt, spices, turmeric, water"
L14,Tawa Subzi + Roti (2),lunch,1 cup + 2 roti,430,60,10,10,7,600,58,3,35,veg,veg,standard,"atta, salt, spices, water, wheat"
L15,Veg Stew + Appam (2),lunch,1 cup + 2 appam,500,72,8,14,4,640,63,3,35,veg,veg,standard,"salt, spices"
L16,Dal Tadka + Roti (2),lunch,1 cup + 2 roti,460,65,16,9,7,620,57,3,35,veg,veg,standard,"atta, lentils, salt, spices, turmeric, water, wheat"
L17,Curd + Millet,lunch,1 bowl,380,56,12,8,5,420,49,3,35,veg,veg,gf,"salt, spices"
L18,Fish Curry + Rice,lunch,1 cup curry + 1 cup rice,540,60,32,14,3,700,55,3,35,nonveg,nonveg,standard,"fish, oil, onion, rice, salt, spices, tomato, water"
L19,Chicken Curry + Rice,lunch,1 cup curry + 1 cup rice,560,62,34,16,3,720,55,3,35,nonveg,nonveg,standard,"chicken, oil, onion, rice, salt, spices, tomato, water"
L20,Egg Curry + Rice,lunch,2 eggs + 1 cup gravy + 1 cup rice,520,58,26,18,3,690,55,3,35,eggetarian,nonveg,standard,"egg, oil, onion, rice, salt, spices, tomato, water"
D1,Rajma + Brown Rice (Dinner),dinner,1 cup rajma + 1 cup rice,490,73,18,6,10,580,52,3,35,veg,veg,"low_gi,light_dinner","rice, salt, spices, water"
D2,Chole + Phulka (2) (Dinner),dinner,1 cup chole + 2 phulka,450,60,14,7,9,720,55,3,35,veg,veg,light_dinner,"salt, spices"
D3,Bajra Roti (2) + Dal (Dinner),dinner,2 roti + 1 cup dal,450,57,18,8,8,560,48,3,35,veg,veg,"gf,low_gi,light_dinner","atta, lentils, salt, spices, turmeric, water, wheat"
